x: 2, y: 6, z: 10, score: 3713.5661249059012
x: 2, y: 6, z: 11, score: 5077.425743497309
x: 2, y: 6, z: 12, score: 7319.961004029876
x: 2, y: 6, z: 13, score: 8231.434752290059
x: 2, y: 6, z: 14, score: 10552.39371099551
x: 2, y: 6, z: 15, score: 5186.740188989416
x: 2, y: 6, z: 16, score: 14780.554465865705
x: 2, y: 7, z: 0, score: 5934.638600508918
x: 2, y: 7, z: 1, score: 13162.619822161667
x: 2, y: 7, z: 2, score: 6057.673392537494
x: 2, y: 7, z: 3, score: 8761.021838740473
x: 2, y: 7, z: 4, score: 9998.355973087415
x: 2, y: 7, z: 5, score: 7346.253574334809
x: 2, y: 7, z: 6, score: 4048.04176422514
x: 2, y: 7, z: 7, score: 2642.5094176681905
x: 2, y: 7, z: 8, score: 2117.833071307382
x: 2, y: 7, z: 9, score: 2334.724453125582
x: 2, y: 7, z: 10, score: 4279.655924382818
x: 2, y: 7, z: 11, score: 5878.334719420169
x: 2, y: 7, z: 12, score: 6370.476067921544
x: 2, y: 7, z: 13, score: 9038.268609492514
x: 2, y: 7, z: 14, score: 5439.707778064775
x: 2, y: 7, z: 15, score: 13385.009443241684
x: 2, y: 7, z: 16, score: 8275.101057987722
x: 2, y: 8, z: 0, score: 20421.61259990684
x: 2, y: 8, z: 1, score: 5769.098567606791
x: 2, y: 8, z: 2, score: 15395.580492021956
x: 2, y: 8, z: 3, score: 7883.185158329008
x: 2, y: 8, z: 4, score: 6251.755985298179
x: 2, y: 8, z: 5, score: 5581.567573129186
x: 2, y: 8, z: 6, score: 7298.165403336315
x: 2, y: 8, z: 7, score: 3467.7822277913865
x: 2, y: 8, z: 8, score: 3127.2867379665768
x: 2, y: 8, z: 9, score: 3042.1049415593743
x: 2, y: 8, z: 10, score: 3173.5894968863704
x: 2, y: 8, z: 11, score: 3559.6588602927404
x: 2, y: 8, z: 12, score: 7462.955425074988
x: 2, y: 8, z: 13, score: 8188.015873399802
x: 2, y: 8, z: 14, score: 12090.865950508385
x: 2, y: 8, z: 15, score: 5605.247973148748
x: 2, y: 8, z: 16, score: 7332.746410307232
x: 3, y: 0, z: 0, score: 1014.4001986461683
x: 3, y: 0, z: 1, score: 1224.6906844825462
x: 3, y: 0, z: 2, score: 6914.429266103854
x: 3, y: 0, z: 3, score: 6276.722362671073
x: 3, y: 0, z: 4, score: 13713.171083272608
x: 3, y: 0, z: 5, score: 23513.10184073772
x: 3, y: 0, z: 6, score: 22206.226562541546
x: 3, y: 0, z: 7, score: 10527.123621859913
x: 3, y: 0, z: 8, score: 7226.772807216938
x: 3, y: 0, z: 9, score: 6115.977580640646
x: 3, y: 0, z: 10, score: 9407.37239314372
x: 3, y: 0, z: 11, score: 12780.167764989956
x: 3, y: 0, z: 12, score: 14330.12021335319
x: 3, y: 0, z: 13, score: 13606.89831869309
x: 3, y: 0, z: 14, score: 8833.439470245616
x: 3, y: 0, z: 15, score: 2699.5414306537523
x: 3, y: 0, z: 16, score: 3429.8490336000164
x: 3, y: 1, z: 0, score: 2396.547615121469
x: 3, y: 1, z: 1, score: 1219.4063926722179
x: 3, y: 1, z: 2, score: 4147.907315699508
x: 3, y: 1, z: 3, score: 7394.9913190634525
x: 3, y: 1, z: 4, score: 9708.778617018617
x: 3, y: 1, z: 5, score: 12215.851144316057
x: 3, y: 1, z: 6, score: 7843.570351084097
x: 3, y: 1, z: 7, score: 7526.547495072476
x: 3, y: 1, z: 8, score: 4358.693126518069
x: 3, y: 1, z: 9, score: 6619.813492350946
x: 3, y: 1, z: 10, score: 4097.597881259629
x: 3, y: 1, z: 11, score: 9308.58229940052
x: 3, y: 1, z: 12, score: 6957.325869070907
x: 3, y: 1, z: 13, score: 5973.178806588586
x: 3, y: 1, z: 14, score: 4369.211228297478
x: 3, y: 1, z: 15, score: 2472.1726008787514
x: 3, y: 1, z: 16, score: 5102.068940520883
x: 3, y: 2, z: 0, score: 2826.5145164578853
x: 3, y: 2, z: 1, score: 4114.79376398158
x: 3, y: 2, z: 2, score: 3148.132286265602
x: 3, y: 2, z: 3, score: 3672.5263135978803
x: 3, y: 2, z: 4, score: 7791.747296105979
x: 3, y: 2, z: 5, score: 10795.368367650066
x: 3, y: 2, z: 6, score: 5955.217549664499
x: 3, y: 2, z: 7, score: 7375.888566322372
x: 3, y: 2, z: 8, score: 6269.394041927649
x: 3, y: 2, z: 9, score: 14605.000610676168
x: 3, y: 2, z: 10, score: 7755.257969205186
x: 3, y: 2, z: 11, score: 5615.6738516041405
x: 3, y: 2, z: 12, score: 7104.335437505149
x: 3, y: 2, z: 13, score: 3836.984248576093
x: 3, y: 2, z: 14, score: 1394.929197827067
x: 3, y: 2, z: 15, score: 1981.6640860001382
